SOURCE	Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
page_03_01_matches.csv	21	21	Chapsal (Fernand)	Chapsal (Fernand)	[87, 97, 169, 870, 874, 1127, 1322, 1334, 1695, 1768]	[87, 97, 169, 870, 874, 1127, 1322, 1334, 1695, 1768]	0.0000	1.0000
page_03_01_matches.csv	22	22	Charabot (Eugène)	Charabot (Eugène)	[443]	[443]	0.0000	1.0000
page_03_01_matches.csv	23	23	Chassaing	Chassaing	[68, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	[68, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	0.0000	1.0000
page_03_01_matches.csv	24	24	Chauveau	Chauveau	[]	<renvoi d'index>	0.0000	1.0000
page_03_03_matches.csv	0	1	Bourgeois	Bourgeois (Général)	[296, 297, 402, 403, 547, 845, 598, 729, 1308, 1492, 1651, 1652, 1653]	[296, 297, 402, 403, 547, 598, 729, 1308, 1492, 1651, 1652, 1653]	0.1962	0.8038
page_03_03_matches.csv	1	2	Brager de La Ville-Moysan	Brager de La Ville-Moysan	[66, 96, 135, 248, 1012, 1167, 1426]	[66, 96, 135, 248, 1012, 1167, 1426]	0.0000	1.0000
page_03_03_matches.csv	2	3	Brard (Alfred)	Brard (Alfred)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
page_03_03_matches.csv	3	4	Brenier (Joseph)	Brenier (Joseph)	[481, 565, 567, 586, 591, 592, 643, 644, 709]	[481, 565, 567, 586, 591, 592, 643, 644, 709]	0.0000	1.0000
page_03_03_matches.csv	4	5	Briand	Briand, ministre des affaires étrangères	[230, 233, 690]	[230, 233, 690]	0.3696	0.6304
page_03_03_matches.csv	5	6	Brindeau	Brindeau	[96, 248, 507, 801, 862, 1593]	[96, 248, 507, 801, 862, 1593]	0.0000	1.0000
page_03_03_matches.csv	6	7	Buhan (Eugène)	Buhan (Eugène)	[829, 831, 1362, 1808]	[829, 831, 1362, 1808, 512, 654, 680, 876, 1691]	0.1818	0.8182
page_03_03_matches.csv	7	24	Cabart-Danneville	Cabart-Danneville	[1, 512, 654, 680, 876, 1691]	[1, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	0.3621	0.6379
page_03_03_matches.csv	8	8	Cadilhon	Cadilhon	[1630]	[1630]	0.0000	1.0000
page_03_03_matches.csv	9	9	Cadot (Henri)	Cadot (Henri)	[28, 594, 596, 967, 968]	[28, 594, 596, 967, 968]	0.0000	1.0000
page_03_03_matches.csv	10	10	Caillaux (Joseph)	Caillaux (Joseph)	[46, 124, 399, 439, 749, 812, 1061, 1162, 1169, 1170, 1389, 1420, 1421, 1423, 1426, 1441, 1442, 1444, 1446, 1447, 1474, 1476, 1477, 1478, 1479, 1480, 1482, 1515, 1516, 1457]	[46, 124, 399, 439, 749, 812, 1389, 1061, 1162, 1169, 1170, 1420, 1421, 1423, 1426, 1441, 1442, 1444, 1446, 1447, 1474, 1476, 1477, 1478, 1479, 1480, 1482, 1515, 1516, 1457]	0.0177	0.9823
page_03_03_matches.csv	11	11	Calmel (Armand)	Calmel (Armand)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
page_03_03_matches.csv	12	12	Capus (Joseph)	Capus (Joseph)	[1344]	[1344]	0.0000	1.0000
page_03_03_matches.csv	13	13	Carrère (Gaston)	Carrère (Gaston)	[460, 480, 497, 562, 672, 763, 1333]	[460, 480, 497, 562, 672, 763, 1333]	0.0000	1.0000
page_03_03_matches.csv	14	14	Cassez (Emile)	Cassez (Emile)	[248, 491, 496, 499, 569, 570, 674, 863, 886, 938, 1389, 1320, 1670, 1721, 1728]	[248, 491, 496, 499, 569, 570, 674, 863, 886, 938, 1389, 1320, 1670, 1721, 1728]	0.0000	1.0000
page_03_03_matches.csv	15	15	Catalogne (Jacques)	Catalogne (Jacques)	[171, 173, 174]	[171, 173, 174]	0.0000	1.0000
page_03_03_matches.csv	16	16	Cathala	Cathala, sous-secrétaire d'Etat au ministère de l'intérieur	[305, 306, 460, 622, 623, 624, 625, 843, 761, 1286]	[305, 306, 460, 622, 623, 624, 625, 843, 761, 1286]	0.3939	0.6061
page_03_03_matches.csv	17	17	Cavillon (Edmond)	Cavilion (Edmond)	<renvoi d'index>	<renvoi d'index>	0.0588	0.9412
page_03_03_matches.csv	18	18	Champetier de Ribes	Champetier de Ribes, ministre des pensions	[600, 601, 852]	[600, 601, 852]	0.1885	0.8115
page_03_03_matches.csv	19	19	Chanal (Eugène)	Chanal (Eugène)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
page_03_03_matches.csv	20	20	Chappedelaine (de)	Chappedelaine (de), ministre de la marine marchande	[93, 509, 510, 511, 512, 513, 1520, 1699]	[93, 509, 510, 511, 512, 513, 1520, 1699]	0.2391	0.7609
page_03_03_matches.csv	21	21	Chapsal (Fernand)	Chapsal (Fernand)	[87, 97, 169, 870, 874, 1127, 1322, 1334, 1695, 1768]	[87, 97, 169, 870, 874, 1127, 1322, 1334, 1695, 1768]	0.0000	1.0000
page_03_03_matches.csv	22	22	Charabot (Eugène)	Charabot (Eugène)	[443]	[443]	0.0000	1.0000
page_03_03_matches.csv	23	23	Chassaing	Chassaing	[68, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	[68, 441, 442, 446, 500, 552, 548, 577, 603, 847, 606, 661, 719, 772, 773, 824, 1644, 1666, 1668, 1691, 1720, 1725]	0.0000	1.0000
page_03_03_matches.csv	24	0	Chauveau	Chauveau	[]	[296, 297, 402, 403, 547, 598, 729, 1308, 1492, 1651, 1652, 1653]	0.5000	0.5000
page_10_03_matches.csv	0	0	Lisbonne	Lisbonne	[342, 1153, 1192, 1327]	[312, 1153, 1192, 1327]	0.0333	0.9667
page_10_03_matches.csv	1	1	Loubet	Loubet	[7, 378, 450, 451, 1358, 1359, 1687]	[7, 378, 450, 451, 1358, 1359, 1687]	0.0000	1.0000
page_10_03_matches.csv	2	2	Linyer (Louis)	Louis Linyer	[194, 659, 774, 1072, 1136, 1322, 1363, 1389]	[194, 659, 774, 1072, 1136, 1322, 1389, 1363]	0.3382	0.6618
page_10_03_matches.csv	3	3	Pasquet (Louis)	Louis Pasquet	[935]	[935]	0.2500	0.7500
page_10_03_matches.csv	4	4	Serre (Louis)	Louis Serre	[113, 114, 176, 342, 348, 349, 350, 413, 414, 415, 558, 607, 644, 670, 703, 725, 726, 759, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	[113, 114, 176, 342, 318, 350, 413, 414, 415, 349, 558, 607, 644, 703, 759, 670, 725, 726, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	0.3284	0.6716
page_10_03_matches.csv	5	5	Soulié (Louis)	Louis Soulie	[132, 160, 198, 966, 968, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	[132, 198, 966, 968, 1389, 160, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	0.3494	0.6506
page_10_03_matches.csv	6	6	Lubersac (Marquis de)	Lubersac (Marquis de)	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	0.0000	1.0000
page_10_03_matches.csv	7	7	Ludre-Frolois (de)	Ludre-Frolois (de)	[1438]	[1438]	0.0000	1.0000
page_10_03_matches.csv	8	8	Lugol (Georges)	Lugol (Georges)	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 411, 412, 413, 416, 417, 419, 420, 421, 423, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 412, 413, 416, 417, 419, 420, 421, 423, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	0.0067	0.9933
page_10_03_matches.csv	9	9	Machet (Georges-Emile)	Machet (Georges-Emile)	[8, 143]	[8, 143]	0.0000	1.0000
page_10_03_matches.csv	10	10	Maginot	Maginot, ministre de la guerre	[1010, 1308]	[1010, 1308]	0.3108	0.6892
page_10_03_matches.csv	11	11	Mahieu (Albert)	Mahieu (Albert)	<renvoi d'index>	[1438]	0.5000	0.5000
page_10_03_matches.csv	12	12	Manceau (Anatole)	Manceau (Anatole)	<renvoi d'index>	[1438]	0.5000	0.5000
page_10_03_matches.csv	13	13	Mando	Mando	[189]	[189]	0.0000	1.0000
page_10_03_matches.csv	14	14	Michel (Marcel)	Marcel Michel	[499, 702, 703, 852, 899, 1220]	[499, 702, 703, 852, 899, 1220]	0.2857	0.7143
page_10_03_matches.csv	15	15	Plaisant (Marcel)	Marcel Plaisant	[1, 224, 1388, 1389, 1621, 1627]	[1, 224, 1388, 1389, 1621, 1627]	0.2500	0.7500
page_10_03_matches.csv	16	16	Marguerie (Marquis de)	Marguerie (Marquis de)	[1322, 1362]	[1322, 1362]	0.0000	1.0000
page_10_03_matches.csv	17	17	Roustan (Mario)	Mario Roustan, ministre de l'instruction publique	[157, 158, 289, 299, 575, 576, 577, 578, 579, 582, 585, 586, 589, 590, 593, 594, 596, 789, 791, 792, 793, 795, 1030, 1031, 1032, 1061, 1389, 1416, 1436, 1437, 1453, 1458, 1470, 1647, 1649, 1651, 1654]	[157, 158, 289, 299, 575, 576, 577, 578, 579, 582, 585, 586, 589, 590, 593, 594, 596, 789, 791, 792, 793, 795, 1030, 1031, 1032, 1061, 1416, 1436, 1437, 1453, 1458, 1470, 1647, 1649, 1651, 1654]	0.3206	0.6794
page_10_03_matches.csv	18	18	Marraud (Pierre)	Marraud (Pierre)	<renvoi d'index>	[1438]	0.5000	0.5000
page_10_03_matches.csv	19	19	Marrou (Baptiste)	Marrou (Baptiste)	[1694]	[1694]	0.0000	1.0000
page_10_03_matches.csv	20	20	Martin (Louis)	Martin (Louis)	[583, 689, 1152, 1153, 1770, 1771, 1811]	[583, 689, 1152, 1153, 1770, 1771, 1811, 1770]	0.0357	0.9643
page_10_03_matches.csv	21	21	Martin-Binachon	Martin-Binachon	[517, 1258, 1267, 1278]	[517, 1258, 1267, 1278]	0.0000	1.0000
page_10_03_matches.csv	22	22	Mauger (Hippolyte)	Mauger (Hippolyte)	[29, 30, 135, 172]	[29, 29, 29, 135, 172, 172]	0.1800	0.8200
page_10_01_matches.csv	0	0	Lisbonne	Lisbonne	[342, 1153, 1192, 1327]	[342, 1153, 1192, 1327]	0.0000	1.0000
page_10_01_matches.csv	1	1	Loubet	Loubet	[7, 378, 450, 451, 1358, 1359, 1687]	[7, 378, 450, 451, 1358, 1359, 1687]	0.0000	1.0000
page_10_01_matches.csv	2	2	Linyer (Louis)	Louis Linyer	[194, 659, 774, 1072, 1136, 1322, 1363, 1389]	[194, 659, 774, 1072, 1136, 1322, 1389, 1363]	0.3382	0.6618
page_10_01_matches.csv	3	3	Pasquet (Louis)	Louis Pasquet	[935]	[935]	0.2500	0.7500
page_10_01_matches.csv	4	4	Serre (Louis)	Louis Serre	[113, 114, 176, 342, 348, 349, 350, 413, 414, 415, 558, 607, 644, 670, 703, 725, 726, 759, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	[113, 114, 176, 342, 348, 350, 413, 414, 415, 349, 558, 607, 644, 703, 759, 670, 725, 726, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	0.3248	0.6752
page_10_01_matches.csv	5	5	Soulié (Louis)	Louis Soulié	[132, 160, 198, 966, 968, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	[132, 198, 966, 968, 1389, 160, 984, 1066, 1127, 1388, 1527, 1532, 1538, 1680, 1723, 1760]	0.3296	0.6704
page_10_01_matches.csv	6	6	Lubersac (Marquis de)	Lubersac (Marquis de)	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	0.0000	1.0000
page_10_01_matches.csv	7	7	Ludre-Frolois (de)	Ludre-Frolois (de)	[1438]	[1438]	0.0000	1.0000
page_10_01_matches.csv	8	8	Lugol (Georges)	Lugol (Georges)	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 411, 412, 413, 416, 417, 419, 420, 421, 423, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 412, 413, 416, 417, 419, 420, 421, 423, 339, 344, 347, 348, 349, 350, 361, 381, 411, 420, 421, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	0.0703	0.9297
page_10_01_matches.csv	9	9	Machet (Georges-Emile)	Machet (Georges-Emile)	[8, 143]	[8, 143]	0.0000	1.0000
page_10_01_matches.csv	10	10	Maginot	Maginot, ministre de la guerre	[1010, 1308]	[1010, 1308]	0.3108	0.6892
page_10_01_matches.csv	11	11	Mahieu (Albert)	Mahieu (Albert)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
page_10_01_matches.csv	12	12	Manceau (Anatole)	Manceau (Anatole)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
page_10_01_matches.csv	13	13	Mando	Mando	[189]	[189]	0.0000	1.0000
page_10_01_matches.csv	14	14	Michel (Marcel)	Marcel Michel	[499, 702, 703, 852, 899, 1220]	[499, 702, 703, 852, 899, 1220]	0.2857	0.7143
page_10_01_matches.csv	15	15	Plaisant (Marcel)	Marcel Plaisant	[1, 224, 1388, 1389, 1621, 1627]	[1, 224, 1388, 1389, 1621, 1627]	0.2500	0.7500
page_10_01_matches.csv	16	16	Marguerie (Marquis de)	Marguerie (Marquis de)	[1322, 1362]	[1322, 1362]	0.0000	1.0000
page_10_01_matches.csv	17	17	Roustan (Mario)	Mario Roustan, ministre de l'instruction publique	[157, 158, 289, 299, 575, 576, 577, 578, 579, 582, 585, 586, 589, 590, 593, 594, 596, 789, 791, 792, 793, 795, 1030, 1031, 1032, 1061, 1389, 1416, 1436, 1437, 1453, 1458, 1470, 1647, 1649, 1651, 1654]	[157, 158, 289, 299, 575, 576, 577, 578, 579, 582, 585, 586, 589, 590, 593, 594, 596, 789, 791, 792, 793, 795, 1030, 1031, 1032, 1061, 1416, 1436, 1437, 1453, 1458, 1470, 1647, 1649, 1651, 1654]	0.3206	0.6794
page_10_01_matches.csv	18	18	Marraud (Pierre)	Marraud (Pierre)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
page_10_01_matches.csv	19	19	Marrou (Baptiste)	Marrou (Baptiste)	[1694]	[1694]	0.0000	1.0000
page_10_01_matches.csv	20	20	Martin (Louis)	Martin (Louis)	[583, 689, 1152, 1153, 1770, 1771, 1811]	[583, 689, 1152, 1153, 1770, 1771, 1811, 1770]	0.0357	0.9643
page_10_01_matches.csv	21	21	Martin-Binachon	Martin-Binachon	[517, 1258, 1267, 1278]	[517, 1258, 1267, 1278]	0.0000	1.0000
page_10_01_matches.csv	22	22	Mauger (Hippolyte)	Mauger (Hippolyte)	[29, 30, 135, 172]	[29, 29, 29, 135, 172, 172]	0.1800	0.8200
page_10_02_matches.csv	0	0	Lisbonne	Lisbonne	[342, 1153, 1192, 1327]	[342, 1153, 1192, 1327]	0.0000	1.0000
page_10_02_matches.csv	1	1	Loubet	Loubet	[7, 378, 450, 451, 1358, 1359, 1687]	[7, 378, 450, 451, 1358, 1359, 1687]	0.0000	1.0000
page_10_02_matches.csv	2	2	Linyer (Louis)	Louis Linyer	[194, 659, 774, 1072, 1136, 1322, 1363, 1389]	[194, 659, 774, 1072, 1136, 1322, 1389, 1363]	0.3382	0.6618
page_10_02_matches.csv	3	3	Pasquet (Louis)	Louis Pasquet	[935]	[935]	0.2500	0.7500
page_10_02_matches.csv	4	4	Serre (Louis)	Louis Serre	[113, 114, 176, 342, 348, 349, 350, 413, 414, 415, 558, 607, 644, 670, 703, 725, 726, 759, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	[113, 114, 176, 342, 318, 350, 413, 414, 415, 349, 558, 607, 644, 703, 759, 670, 725, 726, 882, 991, 1244, 1356, 1367, 1441, 1461, 1462, 1475, 1476, 1480, 1481, 1532, 1551, 1666, 1668, 1673, 1677, 1678, 1680, 1815]	0.3284	0.6716
page_10_02_matches.csv	5	5	Soulié (Louis)	Louis Soulie	[132, 160, 198, 966, 968, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	[132, 198, 966, 968, 1389, 160, 984, 1066, 1127, 1388, 1389, 1527, 1532, 1538, 1680, 1723, 1760]	0.3494	0.6506
page_10_02_matches.csv	6	6	Lubersac (Marquis de)	Lubersac (Marquis de)	[8, 389, 464, 466, 467, 489, 541, 548, 549, 1002]	[8, 389, 489, 541, 548, 549, 1002]	0.0918	0.9082
page_10_02_matches.csv	7	7	Ludre-Frolois (de)	Ludre-Frolois (de)	[1438]	[1438]	0.0000	1.0000
page_10_02_matches.csv	8	8	Lugol (Georges)	Lugol (Georges)	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 411, 412, 413, 416, 417, 419, 420, 421, 423, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	[325, 339, 343, 344, 345, 346, 347, 348, 349, 350, 353, 361, 362, 373, 375, 381, 382, 383, 384, 412, 413, 416, 417, 419, 420, 421, 423, 339, 344, 347, 348, 349, 350, 361, 381, 411, 420, 421, 462, 463, 466, 1744, 1745, 1816, 1818, 1819]	0.0703	0.9297
page_10_02_matches.csv	9	9	Machet (Georges-Emile)	Machet (Georges-Emile)	[8, 143]	[8, 143]	0.0000	1.0000
page_10_02_matches.csv	10	10	Maginot	Maginot, ministre de la guerre	[1010, 1308]	[1010, 1308]	0.3108	0.6892
page_10_02_matches.csv	11	11	Mahieu (Albert)	Mahieu (Albert)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
